,avg_citations_per_year,avg_nih_percentile,h_index,no_pmids_found,official_name,pmid_of_no_citations,rcr_sum,title,total_articles,total_citations
Abdulrazag M Ajlan,1.04199733333,23.6416666667,4,,Abdulrazag M Ajlan,[],7.974139,"Adjunct Clinical Assistant Professor, Neurosurgery",12,93
"Aijaz Ahmed, MD",3.60107875397,46.3558558559,24,,"Aijaz Ahmed, MD",[],197.971608,Associate Professor of Medicine (Gastroenterology and Hepatology) at the Stanford University Medical Center,126,2330
Aileen Adriano,,,,true,Aileen Adriano,,,"Clinical Associate Professor, Anesthesiology, Perioperative and Pain Medicine",,
Arman Abdalkhani,,,,true,Arman Abdalkhani,,,"Adjunct Clinical Instructor, Otolaryngology (Head and Neck Surgery)",,
Arthur J. Abrams,,,,true,Arthur J. Abrams,,,"Emeritus Adjunct Clinical Associate Professor, Dermatology",,
Azin Akbarnejad-Oshagh,,,,true,Azin Akbarnejad-Oshagh,,,"Clinical Assistant Professor, Pediatrics - Neonatal and Developmental Medicine",,
Catherine Aftandilian,0.9030952,29.54,3,,Catherine Aftandilian,[],2.894509,"Clinical Assistant Professor, Pediatrics - Hematology & Oncology",5,49
Christine Acuna,,,,true,Christine Acuna,,,"Clinical Instructor, Pediatrics",,
Christine M. Aguilar,,,,true,Christine M. Aguilar,,,"Adjunct Clinical Assistant Professor, Orthopaedic Surgery",,
Daniel Arthur Abrams,,,,true,Daniel Arthur Abrams,,,"Instructor, Psych/Major Laboratories and Clinical & Translational Neurosciences Incubator",,
Diana O. Adams,,,,true,Diana O. Adams,,,"Adjunct Clinical Assistant Professor, Psychiatry and Behavioral Sciences",,
"Elias Aboujaoude, MD, MA",4.13596965385,62.9166666667,14,,"Elias Aboujaoude, MD, MA",[],83.972989,"Clinical Professor, Psychiatry and Behavioral Sciences",26,704
Elliott L. Adams,,,,true,Elliott L. Adams,,,"Emeritus Adjunct Clinical Associate Professor, Dermatology",,
Emily Ach,,,,true,Emily Ach,,,"Clinical Assistant Professor, Psychiatry and Behavioral Sciences - Child and Adolescent Psychiatry",,
Fahim Abbasi,4.46270372881,50.6881355932,40,,Fahim Abbasi,[],219.052369,"Clinical Assistant Professor, Medicine - Cardiovascular Medicine",118,6537
Frederick W Ackroyd,,,,true,Frederick W Ackroyd,,,"Adjunct Clinical Professor, Surgery - General Surgery",,
Fuad Abuabara,,,,true,Fuad Abuabara,,,"Adjunct Clinical Associate Professor, Dermatology",,
G David Adamson,,,,true,G David Adamson,,,"Adjunct Clinical Professor, Obstetrics & Gynecology",,
"Geoffrey Abrams, MD",3.75329668085,56.6422222222,16,,"Geoffrey Abrams, MD",[],129.6567,Assistant Professor of Orthopaedic Surgery at the Palo Alto Veterans Affairs Health Care system,47,804
Gillian Abir,1.09424591667,35.7636363636,4,,Gillian Abir,[],10.737628,"Clinical Associate Professor, Anesthesiology, Perioperative and Pain Medicine",12,67
"Graham Abra, MD",1.333333,27.9,1,,"Graham Abra, MD",[],0.51856,"Clinical Assistant Professor, Medicine - Nephrology",1,8
Iram Ahmad,,,,true,Iram Ahmad,,,Assistant Professor of Otolaryngology-HNS (Pediatrics) at the Stanford University Medical Center,,
Janelle Aby,3.40833325,61.025,3,,Janelle Aby,[],9.579043,"Clinical Professor, Pediatrics - General Pediatrics",4,144
"John R. Adler, MD",2.83149264615,55.0048,39,,"John R. Adler, MD",[],227.261904,"The Dorothy and Thye King Chan Professor in Neurosurgery, Emeritus",130,4592
John R. Ahlering,,,,true,John R. Ahlering,,,"Emeritus Adjunct Clinical Associate Professor, Anesthesiology, Perioperative and Pain Medicine",,
Kumar Abhinav,,,,true,Kumar Abhinav,,,"Clinical Instructor, Neurosurgery",,
