,avg_citations_per_year,avg_nih_percentile,h_index,rcr_sum,total_articles,total_citations,unable_to_find_any_articles,url
alan-yeung,2.492192647058823,35.3873949579832,32,129.45060999999998,119,4202,,https://profiles.stanford.edu/alan-yeung?tab=publications
celina-yong,1.7516667000000001,32.160000000000004,5,7.839407,10,80,,https://profiles.stanford.edu/celina-yong?tab=publications
dan-murphy,,,,,,,true,https://profiles.stanford.edu/dan-murphy?tab=publications
david-lee,11.129403981132079,36.23018867924528,19,229.84535599999995,53,3634,,https://profiles.stanford.edu/david-lee?tab=publications
david-liang,1.788630128440367,37.4302752293578,28,103.29219199999999,109,2495,,https://profiles.stanford.edu/david-liang?tab=publications
david-maron,7.561686037974685,42.7038961038961,28,226.21130099999988,79,5774,,https://profiles.stanford.edu/david-maron?tab=publications
dipanjan-banerjee,1.6423950322580645,35.79166666666667,9,24.997489,31,249,,https://profiles.stanford.edu/dipanjan-banerjee?tab=publications
erik-ingelsson,17.508898340080968,71.10765957446807,66,1469.5768340000002,247,25554,,https://profiles.stanford.edu/erik-ingelsson?tab=publications
euan-ashley,6.766134655737703,53.8846590909091,43,436.9501169999998,183,7425,,https://profiles.stanford.edu/euan-ashley?tab=publications
francois-haddad,4.260123883928571,48.51588785046727,23,206.87049599999995,112,3092,,https://profiles.stanford.edu/francois-haddad?tab=publications
george-lui,3.174735444444444,41.1,8,24.508997000000004,18,379,,https://profiles.stanford.edu/george-lui?tab=publications
gerald-reaven,4.00426041724138,49.64775086505189,65,557.161242,290,17067,,https://profiles.stanford.edu/gerald-reaven?tab=publications
ian-rogers,4.590661333333332,50.374999999999986,18,79.80977299999999,45,1532,,https://profiles.stanford.edu/ian-rogers?tab=publications
ingela-schnittger,2.622398224137931,48.51,18,74.77461700000002,58,1393,,https://profiles.stanford.edu/ingela-schnittger?tab=publications
jeffrey-teuteberg,11.015442875,63.675,7,34.372389999999996,8,693,,https://profiles.stanford.edu/jeffrey-teuteberg?tab=publications
jennifer-tremmel,2.9217483,31.34,10,39.077476999999995,30,671,,https://profiles.stanford.edu/jennifer-tremmel?tab=publications
joseph-wu,7.017395349823318,57.712367491166084,62,641.8587730000002,283,12866,,https://profiles.stanford.edu/joseph-wu?tab=publications
joshua-knowles,14.372400708333338,58.02253521126761,31,332.10966399999995,72,7073,,https://profiles.stanford.edu/joshua-knowles?tab=publications
joshua-spin,4.6662558333333335,48.72222222222222,21,55.97552700000001,36,1328,,https://profiles.stanford.edu/joshua-spin?tab=publications
karim-sallam,6.135119071428572,51.11538461538461,9,27.449587999999995,14,355,,https://profiles.stanford.edu/karim-sallam?tab=publications
kenneth-mahaffey,11.602318251724137,55.67535211267609,65,1341.7819010000007,290,24867,,https://profiles.stanford.edu/kenneth-mahaffey?tab=publications
kiran-khush,3.2783383055555557,41.5625,12,44.59055999999999,36,709,,https://profiles.stanford.edu/kiran-khush?tab=publications
koen-nieman,13.54698225,75.86666666666666,10,95.47718600000002,16,1980,,https://profiles.stanford.edu/koen-nieman?tab=publications
marco-perez,3.2944991093750002,45.755737704918026,16,81.330724,64,1424,,https://profiles.stanford.edu/marco-perez?tab=publications
mark-hlatky,5.485818142241379,50.59210526315791,52,529.733286,232,11537,,https://profiles.stanford.edu/mark-hlatky?tab=publications
mark-mercola,7.896225102564104,62.997368421052634,23,90.39162899999997,39,1781,,https://profiles.stanford.edu/mark-mercola?tab=publications
matthew-whitlock,,,,,,,true,https://profiles.stanford.edu/matthew-whitlock?tab=publications
michael-fowler,8.665029870967741,48.68387096774195,28,299.84195300000005,62,9936,,https://profiles.stanford.edu/michael-fowler?tab=publications
micheal-mcconnell,,,,,,,true,https://profiles.stanford.edu/micheal-mcconnell?tab=publications
mintu-turakhia,,,,,,,true,https://profiles.stanford.edu/mintu-turakhia?tab=publications
nicholas-leeper,7.100296870967742,56.161403508771926,24,173.69476200000003,62,2098,,https://profiles.stanford.edu/nicholas-leeper?tab=publications
patricia-nguyen,5.366570189189188,44.97837837837839,16,65.729232,37,1073,,https://profiles.stanford.edu/patricia-nguyen?tab=publications
paul-heidenreich,5.625686076190477,49.63993399339931,62,702.860726,315,14599,,https://profiles.stanford.edu/paul-heidenreich?tab=publications
paul-wang,4.3875856263736255,37.64555555555557,22,151.48131999999998,91,2876,,https://profiles.stanford.edu/paul-wang?tab=publications
paul-yock,2.7644554487179485,33.960897435897444,34,192.84888799999985,156,6389,,https://profiles.stanford.edu/paul-yock?tab=publications
peter-fitzgerald,1.9615972840909088,30.359090909090913,33,144.36372200000002,176,4322,,https://profiles.stanford.edu/peter-fitzgerald?tab=publications
philip-tsao,6.165677207547167,59.98141025641022,54,415.7872779999998,159,11525,,https://profiles.stanford.edu/philip-tsao?tab=publications
philip-yang,,,,,,,true,https://profiles.stanford.edu/philip-yang?tab=publications
rajesh-dash,2.451551206896552,47.65555555555555,15,32.053024,29,793,,https://profiles.stanford.edu/rajesh-dash?tab=publications
randall-vagelos,2.637014097560976,39.43170731707318,18,48.971008000000005,41,1465,,https://profiles.stanford.edu/randall-vagelos?tab=publications
robert-harrington,8.254555750778815,54.97721518987344,75,985.0264789999995,321,25037,,https://profiles.stanford.edu/robert-harrington?tab=publications
ronald-witteles,7.576378073170732,49.4609756097561,16,123.40291000000002,41,2189,,https://profiles.stanford.edu/ronald-witteles?tab=publications
sanjiv-narayan,5.0724664102564105,54.43888888888889,15,83.83144099999998,39,755,,https://profiles.stanford.edu/sanjiv-narayan?tab=publications
sharon-hunt,5.563364241379311,48.36436781609195,34,218.69330499999998,87,5756,,https://profiles.stanford.edu/sharon-hunt?tab=publications
stanley-rockson,3.0016187115384607,42.93592233009709,31,139.49810799999992,104,3649,,https://profiles.stanford.edu/stanley-rockson?tab=publications
thomas-quertermous,10.937878375000004,52.11964285714287,54,592.2279460000001,168,15755,,https://profiles.stanford.edu/thomas-quertermous?tab=publications
tim-assimes,,,,,,,true,https://profiles.stanford.edu/tim-assimes?tab=publications
todd-brinton,3.1464237692307697,42.26800000000001,12,34.101455,26,851,,https://profiles.stanford.edu/todd-brinton?tab=publications
william-fearon,11.005863095238091,53.12016129032257,40,613.8167879999999,126,8616,,https://profiles.stanford.edu/william-fearon?tab=publications
